,Area,Item,Year,Yield Value,average_rain_fall_mm_per_year,Pesticies Value,Avg_Temp
135,Algeria,"Rice, paddy",1997,15000,89,401.22,17.84
136,Algeria,Sorghum,1997,40000,89,401.22,17.84
137,Algeria,Wheat,1997,8016,89,401.22,17.84
138,Algeria,Maize,1998,17222,89,322.84,17.14
139,Algeria,Potatoes,1998,160256,89,322.84,17.14
140,Algeria,"Rice, paddy",1998,15000,89,322.84,17.14
141,Algeria,Sorghum,1998,24500,89,322.84,17.14
142,Algeria,Wheat,1998,8847,89,322.84,17.14
143,Algeria,Maize,1999,22375,89,654.45,17.97
144,Algeria,Potatoes,1999,153532,89,654.45,17.97
145,Algeria,"Rice, paddy",1999,13942,89,654.45,17.97
146,Algeria,Sorghum,1999,27000,89,654.45,17.97
147,Algeria,Wheat,1999,10711,89,654.45,17.97
148,Algeria,Maize,2000,36186,89,603.67,17.9
149,Algeria,Potatoes,2000,166143,89,603.67,17.9
150,Algeria,"Rice, paddy",2000,13052,89,603.67,17.9
151,Algeria,Sorghum,2000,69500,89,603.67,17.9
152,Algeria,Wheat,2000,9194,89,603.67,17.9
153,Algeria,Maize,2001,27175,89,710.11,18.13
154,Algeria,Potatoes,2001,147018,89,710.11,18.13
155,Algeria,"Rice, paddy",2001,12314,89,710.11,18.13
156,Algeria,Sorghum,2001,27750,89,710.11,18.13
157,Algeria,Wheat,2001,11104,89,710.11,18.13
158,Algeria,Maize,2002,33480,89,816.55,17.85
159,Algeria,Potatoes,2002,183774,89,816.55,17.85
160,Algeria,"Rice, paddy",2002,12959,89,816.55,17.85
161,Algeria,Sorghum,2002,33900,89,816.55,17.85
162,Algeria,Wheat,2002,10739,89,816.55,17.85
163,Algeria,Maize,2004,31729,89,3747.86,17.38
164,Algeria,Potatoes,2004,203585,89,3747.86,17.38
165,Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38
166,Algeria,Sorghum,2004,43316,89,3747.86,17.38
167,Algeria,Wheat,2004,13582,89,3747.86,17.38
168,Algeria,Maize,2005,33864,89,3662.87,17.19
169,Algeria,Potatoes,2005,216267,89,3662.87,17.19
170,Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19
171,Algeria,Sorghum,2005,33486,89,3662.87,17.19
172,Algeria,Wheat,2005,15057,89,3662.87,17.19
173,Algeria,Maize,2006,65668,89,4110.72,18.13
174,Algeria,Potatoes,2006,220689,89,4110.72,18.13
175,Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13
176,Algeria,Sorghum,2006,56728,89,4110.72,18.13
177,Algeria,Wheat,2006,15068,89,4110.72,18.13
178,Algeria,Maize,2007,85625,89,5390.79,17.42
179,Algeria,Potatoes,2007,189927,89,5390.79,17.42
180,Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42
181,Algeria,Sorghum,2007,119059,89,5390.79,17.42
182,Algeria,Wheat,2007,12742,89,5390.79,17.42
183,Algeria,Maize,2008,44714,89,11556.12,17.55
184,Algeria,Potatoes,2008,236393,89,11556.12,17.55
185,Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55
186,Algeria,Sorghum,2008,61786,89,11556.12,17.55
187,Algeria,Wheat,2008,11038,89,11556.12,17.55
188,Algeria,Maize,2009,30914,89,3867.99,17.78
189,Algeria,Potatoes,2009,250764,89,3867.99,17.78
190,Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78
191,Algeria,Sorghum,2009,90465,89,3867.99,17.78
192,Algeria,Wheat,2009,15975,89,3867.99,17.78
193,Algeria,Maize,2010,25827,89,1295.88,17.59
194,Algeria,Potatoes,2010,270526,89,1295.88,17.59
195,Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59
196,Algeria,Sorghum,2010,30286,89,1295.88,17.59
197,Algeria,Wheat,2010,14838,89,1295.88,17.59
198,Algeria,Maize,2011,23374,89,13861.76,17.79
199,Algeria,Potatoes,2011,292806,89,13861.76,17.79
200,Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79
201,Algeria,Sorghum,2011,100000,89,13861.76,17.79
202,Algeria,Wheat,2011,17405,89,13861.76,17.79
203,Algeria,Maize,2012,25583,89,17379.76,17.91
204,Algeria,Potatoes,2012,304291,89,17379.76,17.91
205,Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91
206,Algeria,Sorghum,2012,206000,89,17379.76,17.91
207,Algeria,Wheat,2012,17639,89,17379.76,17.91
208,Algeria,Maize,2013,33649,89,17278.65,17.65
209,Algeria,Potatoes,2013,303218,89,17278.65,17.65
210,Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65
211,Algeria,Sorghum,2013,60000,89,17278.65,17.65
212,Algeria,Wheat,2013,19100,89,17278.65,17.65
213,Angola,Cassava,1990,41177,1010,64.0,24.12
214,Angola,Maize,1990,2736,1010,64.0,24.12
215,Angola,Potatoes,1990,40000,1010,64.0,24.12
216,Angola,"Rice, paddy",1990,9512,1010,64.0,24.12
217,Angola,Sweet potatoes,1990,89342,1010,64.0,24.12
218,Angola,Wheat,1990,7995,1010,64.0,24.12
219,Angola,Cassava,1991,40295,1010,79.0,24.02
220,Angola,Maize,1991,4013,1010,79.0,24.02
221,Angola,Potatoes,1991,40000,1010,79.0,24.02
222,Angola,"Rice, paddy",1991,10000,1010,79.0,24.02
223,Angola,Sweet potatoes,1991,83001,1010,79.0,24.02
224,Angola,Wheat,1991,8000,1010,79.0,24.02
225,Angola,Cassava,1992,42295,1010,23.0,23.96
226,Angola,Maize,1992,3778,1010,23.0,23.96
227,Angola,Potatoes,1992,40000,1010,23.0,23.96
228,Angola,"Rice, paddy",1992,9106,1010,23.0,23.96
229,Angola,Sweet potatoes,1992,90000,1010,23.0,23.96
230,Angola,Wheat,1992,8000,1010,23.0,23.96
231,Angola,Cassava,1993,42295,1010,169.0,24.15
232,Angola,Maize,1993,2627,1010,169.0,24.15
233,Angola,Potatoes,1993,70000,1010,169.0,24.15
234,Angola,"Rice, paddy",1993,8000,1010,169.0,24.15
235,Angola,Sweet potatoes,1993,88095,1010,169.0,24.15
236,Angola,Wheat,1993,8876,1010,169.0,24.15
237,Angola,Cassava,1994,58596,1010,25.5,24.04
238,Angola,Maize,1994,2463,1010,25.5,24.04
239,Angola,Potatoes,1994,90000,1010,25.5,24.04
240,Angola,"Rice, paddy",1994,8750,1010,25.5,24.04
241,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04
242,Angola,Wheat,1994,10000,1010,25.5,24.04
243,Angola,Cassava,1995,51000,1010,336.0,24.56
244,Angola,Maize,1995,3517,1010,336.0,24.56
245,Angola,Potatoes,1995,76738,1010,336.0,24.56
246,Angola,"Rice, paddy",1995,14615,1010,336.0,24.56
247,Angola,Sweet potatoes,1995,81138,1010,336.0,24.56
248,Angola,Wheat,1995,11855,1010,336.0,24.56
249,Angola,Cassava,1996,48077,1010,40.0,24.11
250,Angola,Maize,1996,6993,1010,40.0,24.11
251,Angola,Potatoes,1996,70000,1010,40.0,24.11
252,Angola,"Rice, paddy",1996,17500,1010,40.0,24.11
253,Angola,Sweet potatoes,1996,85455,1010,40.0,24.11
254,Angola,Wheat,1996,13738,1010,40.0,24.11
255,Angola,Cassava,1997,44205,1010,40.0,24.06
256,Angola,Maize,1997,5959,1010,40.0,24.06
257,Angola,Potatoes,1997,68571,1010,40.0,24.06
258,Angola,"Rice, paddy",1997,20000,1010,40.0,24.06
259,Angola,Sweet potatoes,1997,78098,1010,40.0,24.06
260,Angola,Wheat,1997,15509,1010,40.0,24.06
261,Angola,Cassava,1998,55728,1010,40.0,24.96
262,Angola,Maize,1998,7396,1010,40.0,24.96
263,Angola,Potatoes,1998,62724,1010,40.0,24.96
264,Angola,"Rice, paddy",1998,20000,1010,40.0,24.96
265,Angola,Sweet potatoes,1998,76256,1010,40.0,24.96
266,Angola,Wheat,1998,17143,1010,40.0,24.96
267,Angola,Cassava,1999,59821,1010,40.0,24.37
268,Angola,Maize,1999,6361,1010,40.0,24.37
269,Angola,Potatoes,1999,54597,1010,40.0,24.37
270,Angola,"Rice, paddy",1999,14235,1010,40.0,24.37
271,Angola,Sweet potatoes,1999,82865,1010,40.0,24.37
272,Angola,Wheat,1999,17391,1010,40.0,24.37
273,Angola,Cassava,2000,82992,1010,40.0,24.41
274,Angola,Maize,2000,5745,1010,40.0,24.41
275,Angola,Potatoes,2000,29885,1010,40.0,24.41
276,Angola,"Rice, paddy",2000,13454,1010,40.0,24.41
277,Angola,Sorghum,2000,3333,1010,40.0,24.41
278,Angola,Soybeans,2000,2333,1010,40.0,24.41
279,Angola,Sweet potatoes,2000,34938,1010,40.0,24.41
280,Angola,Wheat,2000,17023,1010,40.0,24.41
281,Angola,Cassava,2001,94072,1010,40.0,24.43
282,Angola,Maize,2001,5754,1010,40.0,24.43
283,Angola,Potatoes,2001,42552,1010,40.0,24.43
284,Angola,"Rice, paddy",2001,13701,1010,40.0,24.43
285,Angola,Sorghum,2001,3571,1010,40.0,24.43
286,Angola,Soybeans,2001,2500,1010,40.0,24.43
287,Angola,Sweet potatoes,2001,44458,1010,40.0,24.43
288,Angola,Wheat,2001,16667,1010,40.0,24.43
289,Angola,Cassava,2002,110071,1010,40.0,24.79
290,Angola,Maize,2002,6706,1010,40.0,24.79
291,Angola,Potatoes,2002,42754,1010,40.0,24.79
292,Angola,"Rice, paddy",2002,13198,1010,40.0,24.79
293,Angola,Sorghum,2002,3400,1010,40.0,24.79
294,Angola,Soybeans,2002,2857,1010,40.0,24.79
295,Angola,Sweet potatoes,2002,42190,1010,40.0,24.79
296,Angola,Wheat,2002,15455,1010,40.0,24.79
297,Angola,Cassava,2004,125605,1010,40.0,24.22
298,Angola,Maize,2004,5404,1010,40.0,24.22
299,Angola,Potatoes,2004,20150,1010,40.0,24.22
300,Angola,"Rice, paddy",2004,11584,1010,40.0,24.22
301,Angola,Sorghum,2004,3333,1010,40.0,24.22
302,Angola,Soybeans,2004,3600,1010,40.0,24.22
303,Angola,Sweet potatoes,2004,45360,1010,40.0,24.22
304,Angola,Wheat,2004,12442,1010,40.0,24.22
305,Angola,Cassava,2005,117628,1010,40.0,24.41
306,Angola,Maize,2005,6736,1010,40.0,24.41
307,Angola,Potatoes,2005,23646,1010,40.0,24.41
308,Angola,"Rice, paddy",2005,6977,1010,40.0,24.41
309,Angola,Sorghum,2005,3333,1010,40.0,24.41
310,Angola,Soybeans,2005,3793,1010,40.0,24.41
311,Angola,Sweet potatoes,2005,46159,1010,40.0,24.41
312,Angola,Wheat,2005,10946,1010,40.0,24.41
313,Angola,Cassava,2006,117201,1010,40.0,24.14
314,Angola,Maize,2006,4687,1010,40.0,24.14
315,Angola,Potatoes,2006,52148,1010,40.0,24.14
316,Angola,"Rice, paddy",2006,4947,1010,40.0,24.14
317,Angola,Sorghum,2006,4091,1010,40.0,24.14
318,Angola,Soybeans,2006,4286,1010,40.0,24.14
319,Angola,Sweet potatoes,2006,44240,1010,40.0,24.14
320,Angola,Wheat,2006,10000,1010,40.0,24.14
321,Angola,Cassava,2007,115387,1010,40.0,24.24
322,Angola,Maize,2007,5091,1010,40.0,24.24
323,Angola,Potatoes,2007,62138,1010,40.0,24.24
324,Angola,"Rice, paddy",2007,5143,1010,40.0,24.24
325,Angola,Sorghum,2007,4031,1010,40.0,24.24
326,Angola,Soybeans,2007,6883,1010,40.0,24.24
327,Angola,Sweet potatoes,2007,58855,1010,40.0,24.24
328,Angola,Wheat,2007,10000,1010,40.0,24.24
329,Angola,Cassava,2008,148084,1010,40.0,24.27
330,Angola,Maize,2008,7946,1010,40.0,24.27
331,Angola,Potatoes,2008,85085,1010,40.0,24.27
332,Angola,"Rice, paddy",2008,5084,1010,40.0,24.27
333,Angola,Sorghum,2008,929,1010,40.0,24.27
334,Angola,Soybeans,2008,8575,1010,40.0,24.27
335,Angola,Sweet potatoes,2008,65437,1010,40.0,24.27
336,Angola,Wheat,2008,10000,1010,40.0,24.27
337,Angola,Cassava,2009,151759,1010,40.0,24.33
338,Angola,Maize,2009,6614,1010,40.0,24.33
339,Angola,Potatoes,2009,86509,1010,40.0,24.33
340,Angola,"Rice, paddy",2009,6028,1010,40.0,24.33
341,Angola,Sorghum,2009,2480,1010,40.0,24.33
342,Angola,Soybeans,2009,4449,1010,40.0,24.33
343,Angola,Sweet potatoes,2009,66475,1010,40.0,24.33
344,Angola,Wheat,2009,10000,1010,40.0,24.33
345,Angola,Cassava,2010,155782,1010,40.0,24.44
346,Angola,Maize,2010,7200,1010,40.0,24.44
347,Angola,Potatoes,2010,87425,1010,40.0,24.44
348,Angola,"Rice, paddy",2010,7403,1010,40.0,24.44
349,Angola,Sorghum,2010,2814,1010,40.0,24.44
350,Angola,Soybeans,2010,4446,1010,40.0,24.44
351,Angola,Sweet potatoes,2010,63001,1010,40.0,24.44
352,Angola,Wheat,2010,10526,1010,40.0,24.44
353,Angola,Cassava,2011,133649,1010,40.0,24.15
354,Angola,Maize,2011,7376,1010,40.0,24.15
355,Angola,Potatoes,2011,81366,1010,40.0,24.15
356,Angola,"Rice, paddy",2011,8914,1010,40.0,24.15
357,Angola,Sorghum,2011,3320,1010,40.0,24.15
358,Angola,Soybeans,2011,5294,1010,40.0,24.15
359,Angola,Sweet potatoes,2011,65512,1010,40.0,24.15
360,Angola,Wheat,2011,10959,1010,40.0,24.15
361,Angola,Cassava,2012,100073,1010,40.0,24.24
362,Angola,Maize,2012,7770,1010,40.0,24.24
363,Angola,Potatoes,2012,69381,1010,40.0,24.24
364,Angola,"Rice, paddy",2012,7703,1010,40.0,24.24
365,Angola,Sorghum,2012,998,1010,40.0,24.24
366,Angola,Soybeans,2012,1641,1010,40.0,24.24
367,Angola,Sweet potatoes,2012,52954,1010,40.0,24.24
368,Angola,Wheat,2012,11258,1010,40.0,24.24
369,Angola,Cassava,2013,140517,1010,40.0,24.55
370,Angola,Maize,2013,9467,1010,40.0,24.55
371,Angola,Potatoes,2013,63303,1010,40.0,24.55
372,Angola,"Rice, paddy",2013,12744,1010,40.0,24.55
373,Angola,Sorghum,2013,2415,1010,40.0,24.55
374,Angola,Soybeans,2013,4405,1010,40.0,24.55
375,Angola,Sweet potatoes,2013,73409,1010,40.0,24.55
376,Angola,Wheat,2013,9022,1010,40.0,24.55
377,Argentina,Cassava,1990,100000,591,26156.0,17.46
378,Argentina,Cassava,1990,100000,591,26156.0,17.67
379,Argentina,Maize,1990,34608,591,26156.0,17.46
380,Argentina,Maize,1990,34608,591,26156.0,17.67
381,Argentina,Potatoes,1990,202747,591,26156.0,17.46
382,Argentina,Potatoes,1990,202747,591,26156.0,17.67
383,Argentina,"Rice, paddy",1990,36709,591,26156.0,17.46
384,Argentina,"Rice, paddy",1990,36709,591,26156.0,17.67
385,Argentina,Sorghum,1990,28116,591,26156.0,17.46
386,Argentina,Sorghum,1990,28116,591,26156.0,17.67
387,Argentina,Soybeans,1990,21566,591,26156.0,17.46
388,Argentina,Soybeans,1990,21566,591,26156.0,17.67
389,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.46
390,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.67
391,Argentina,Wheat,1990,18947,591,26156.0,17.46
392,Argentina,Wheat,1990,18947,591,26156.0,17.67
393,Argentina,Cassava,1991,100000,591,26156.0,17.64
394,Argentina,Cassava,1991,100000,591,26156.0,17.86
395,Argentina,Maize,1991,40444,591,26156.0,17.64
396,Argentina,Maize,1991,40444,591,26156.0,17.86
397,Argentina,Potatoes,1991,205692,591,26156.0,17.64
398,Argentina,Potatoes,1991,205692,591,26156.0,17.86
399,Argentina,"Rice, paddy",1991,40294,591,26156.0,17.64
400,Argentina,"Rice, paddy",1991,40294,591,26156.0,17.86
401,Argentina,Sorghum,1991,33320,591,26156.0,17.64
402,Argentina,Sorghum,1991,33320,591,26156.0,17.86
403,Argentina,Soybeans,1991,22750,591,26156.0,17.64
404,Argentina,Soybeans,1991,22750,591,26156.0,17.86
405,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.64
406,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.86
407,Argentina,Wheat,1991,18972,591,26156.0,17.64
408,Argentina,Wheat,1991,18972,591,26156.0,17.86
409,Argentina,Cassava,1992,100000,591,26156.0,17.09
410,Argentina,Cassava,1992,100000,591,26156.0,17.51
411,Argentina,Maize,1992,45237,591,26156.0,17.09
412,Argentina,Maize,1992,45237,591,26156.0,17.51
413,Argentina,Potatoes,1992,199039,591,26156.0,17.09
414,Argentina,Potatoes,1992,199039,591,26156.0,17.51
415,Argentina,"Rice, paddy",1992,52075,591,26156.0,17.09
416,Argentina,"Rice, paddy",1992,52075,591,26156.0,17.51
417,Argentina,Sorghum,1992,36217,591,26156.0,17.09
418,Argentina,Sorghum,1992,36217,591,26156.0,17.51
419,Argentina,Soybeans,1992,22915,591,26156.0,17.09
420,Argentina,Soybeans,1992,22915,591,26156.0,17.51
421,Argentina,Sweet potatoes,1992,127273,591,26156.0,17.09
422,Argentina,Sweet potatoes,1992,127273,591,26156.0,17.51
423,Argentina,Wheat,1992,21809,591,26156.0,17.09
424,Argentina,Wheat,1992,21809,591,26156.0,17.51
425,Argentina,Cassava,1993,100000,591,26156.0,17.32
426,Argentina,Cassava,1993,100000,591,26156.0,17.53
427,Argentina,Maize,1993,43552,591,26156.0,17.32
428,Argentina,Maize,1993,43552,591,26156.0,17.53
429,Argentina,Potatoes,1993,210314,591,26156.0,17.32
430,Argentina,Potatoes,1993,210314,591,26156.0,17.53
431,Argentina,"Rice, paddy",1993,43559,591,26156.0,17.32
432,Argentina,"Rice, paddy",1993,43559,591,26156.0,17.53
433,Argentina,Sorghum,1993,39529,591,26156.0,17.32
434,Argentina,Sorghum,1993,39529,591,26156.0,17.53
435,Argentina,Soybeans,1993,21589,591,26156.0,17.32
436,Argentina,Soybeans,1993,21589,591,26156.0,17.53
437,Argentina,Sweet potatoes,1993,122955,591,26156.0,17.32
438,Argentina,Sweet potatoes,1993,122955,591,26156.0,17.53
439,Argentina,Wheat,1993,23272,591,26156.0,17.32
440,Argentina,Wheat,1993,23272,591,26156.0,17.53
441,Argentina,Cassava,1994,100000,591,30195.0,18.17
442,Argentina,Cassava,1994,100000,591,30195.0,18.31
443,Argentina,Maize,1994,42371,591,30195.0,18.17
444,Argentina,Maize,1994,42371,591,30195.0,18.31
445,Argentina,Potatoes,1994,230166,591,30195.0,18.17
446,Argentina,Potatoes,1994,230166,591,30195.0,18.31
447,Argentina,"Rice, paddy",1994,42989,591,30195.0,18.17
448,Argentina,"Rice, paddy",1994,42989,591,30195.0,18.31
449,Argentina,Sorghum,1994,35065,591,30195.0,18.17
450,Argentina,Sorghum,1994,35065,591,30195.0,18.31
451,Argentina,Soybeans,1994,20386,591,30195.0,18.17
452,Argentina,Soybeans,1994,20386,591,30195.0,18.31
453,Argentina,Sweet potatoes,1994,176667,591,30195.0,18.17
454,Argentina,Sweet potatoes,1994,176667,591,30195.0,18.31
455,Argentina,Wheat,1994,20237,591,30195.0,18.17
456,Argentina,Wheat,1994,20237,591,30195.0,18.31
457,Argentina,Cassava,1995,100000,591,37842.0,17.74
458,Argentina,Cassava,1995,100000,591,37842.0,17.62
459,Argentina,Maize,1995,45223,591,37842.0,17.74
460,Argentina,Maize,1995,45223,591,37842.0,17.62
461,Argentina,Potatoes,1995,274272,591,37842.0,17.74
462,Argentina,Potatoes,1995,274272,591,37842.0,17.62
463,Argentina,"Rice, paddy",1995,50306,591,37842.0,17.74
464,Argentina,"Rice, paddy",1995,50306,591,37842.0,17.62
465,Argentina,Sorghum,1995,34588,591,37842.0,17.74
466,Argentina,Sorghum,1995,34588,591,37842.0,17.62
467,Argentina,Soybeans,1995,20446,591,37842.0,17.74
468,Argentina,Soybeans,1995,20446,591,37842.0,17.62
469,Argentina,Sweet potatoes,1995,168000,591,37842.0,17.74
470,Argentina,Sweet potatoes,1995,168000,591,37842.0,17.62
471,Argentina,Wheat,1995,21675,591,37842.0,17.74
